,component0,component1,component2,component3,component4,component5,component6,component7,component8,component9,component10,component11,component12,component13,component14,component15,component16,component17,component18,component19,component20,component21,component22,component23,component24,component25,component26,component27,component28,component29,component30,component31,component32,component33,component34,component35,component36,component37,component38,component39,component40,component41,component42,component43,component44,component45,component46,component47,component48,component49
156-0_vector_tfidf.txt,0.2911110535419061,-0.7251410884782566,-0.04193686295823352,0.04523782240229604,-0.12895217457234073,0.14641845625877337,-0.14635652076827824,0.085976924686308,0.02855073819822687,-0.02068080072115692,0.07516205531027703,0.06437061557176284,0.025626936892465334,0.10757616908356743,-0.008606158413966794,0.05445015377477566,-0.003220378698750703,-0.003588463238511939,0.15667455551380988,-0.15477619373608187,-0.016046920930764416,-0.1201252821349229,-0.06372893638987875,0.027169530613451596,0.04524644704613609,0.0397470686156254,-0.2218437053368559,0.06099088584910689,-0.20141029773288754,-0.021771838047674383,-0.07456438694675625,-0.09182996413268606,-0.07238514638842701,-0.04500397104195037,-0.044032452059326786,0.12318066387377602,0.16824569502470282,0.08770376211202745,0.007296510154365983,0.0552873911527536,-0.02155071775576738,0.010007453892189504,-0.11839500885960932,0.005685710928210071,0.027964967540461842,0.008953711637166049,-0.124857328124221,0.005875164577143615,-0.12772777016858058,0.04391432089324815
156-1_vector_tfidf.txt,0.2828916085215583,-0.7217218779779371,-0.04751160983542155,0.05962986816934689,-0.14385505316032138,0.15457801985588235,-0.16204040734882594,0.08876152962524943,0.006104595330106161,-0.02587871957739649,0.05162277998515546,0.07886496823451518,0.026396030744612504,0.09867381483898026,-0.006632365921860224,0.03136283556566116,-0.007781208310427687,-0.004564967201534069,0.1488008353922282,-0.14605933558310225,-0.02238839640619731,-0.12139568341729204,-0.08025052775723829,0.004672771795324308,0.05248537808625753,0.053876052200699874,-0.2278593542595058,0.049708267199319256,-0.2324527620086523,-0.024700503901037396,-0.08394579372343194,-0.08195492948954727,-0.07540252150827449,-0.02290760772638209,-0.02999260163654157,0.12986606046771368,0.15936995250211852,0.05652064871612134,-0.0022673171354876624,0.050133086749259745,0.004563765986280902,0.03336637125351436,-0.11101265210144629,0.005969126343129272,0.03102664322120212,0.020654302475323814,-0.11630161493643822,0.029171467498191633,-0.11439782225102363,0.048515860021016946
156-2_vector_tfidf.txt,0.2921263033102066,-0.7324399971122453,-0.05669233283802223,0.06021522612151261,-0.13851186230830817,0.1537313917235929,-0.16362798857883187,0.07695476943229294,0.01846238363960166,-0.03992104112085832,0.07148485092727819,0.07796379492919613,0.021890873911245723,0.11045494270825236,0.00035302153899864175,0.02057079311459388,0.010925426362510147,0.008176359811197534,0.15211902018445828,-0.1595989907238592,-0.009259606118904867,-0.11826297225015509,-0.08520184592185685,0.003924916016703974,0.06338495684152307,0.04140087054219399,-0.215517739105871,0.03718429951942969,-0.21686062580661486,-0.031574374435232914,-0.06819898831683692,-0.08833154409551576,-0.07431703780494757,-0.02526049581864923,-0.043903179302851245,0.10487233861738146,0.1443153676037792,0.05115168909479322,-0.01681515203671674,0.07276642190946211,-0.005039356569350174,0.01624967385051869,-0.09360853341629892,-0.009129127139010715,0.03929536411072369,0.032758964784279775,-0.11229871212673061,-0.0053744285369507995,-0.1007739908513423,0.052641869220008894
156-3_vector_tfidf.txt,0.28529787953277563,-0.7162488575794185,-0.0377238156827304,0.06632066020215632,-0.1335923092719678,0.13345974468387722,-0.1625582637608143,0.08036405230151318,0.014898903383122511,-0.02533563309670938,0.06772433446763426,0.07343447550052336,-0.012939932169239549,0.11194413783939335,0.0036666815382622726,0.057189903113981214,0.0034342566671489304,-0.020202237106437017,0.1293751346239014,-0.15685855388661385,-0.03108308963756699,-0.13906099391000248,-0.06992915418404363,0.013761771579344485,0.054482248346214256,0.032174598128725376,-0.23590953721451788,0.05758103859179567,-0.23288091007384082,-0.018873443104549442,-0.07144613407653673,-0.0721506203461831,-0.07991909482146352,-0.025060728526440302,-0.04886668508470556,0.14092968174761636,0.15762419442391015,0.08420668931233315,-0.011073690411911329,0.06062696325475853,-0.015312882662778575,-0.001791309872834908,-0.12106803317764177,0.0069950256643602025,0.03994473092265945,0.046482342764994446,-0.09624580877583212,0.032913997574508747,-0.11451224938662205,0.047181091699397416
156-4_vector_tfidf.txt,0.28846166903916615,-0.7291109493062498,-0.04539797003115181,0.05182600521449576,-0.1494816797379458,0.1550844548399571,-0.15535648331727941,0.08726332612052466,0.00862991080753676,-0.03227382178363369,0.06808022715722349,0.06774733881804153,0.029142006681028447,0.10823070631762033,0.010096520440749346,0.024759945868554664,0.004834835634231381,-0.005625413389029444,0.15537950996408895,-0.15636031648642168,-0.035218509039551794,-0.10948978501953899,-0.0806929880571358,0.012602396038009308,0.03380927545980634,0.04480239841625548,-0.21372653729067284,0.04032603430872398,-0.2310712281989551,0.014426447021392222,-0.07408883476594252,-0.08120087262898751,-0.07792990082847603,-0.01315594627275858,-0.04670126923212965,0.1112619501970318,0.17458803175463547,0.06698956637741028,-0.016281843912481192,0.05203638199102653,-0.0052754404477069255,-0.012106794687390371,-0.10275672113640727,0.017421650802720384,0.018404348487712302,0.023992677395431292,-0.10280598291212155,0.010778848028581945,-0.0964884100670035,0.05740475945084956
156-5_vector_tfidf.txt,0.29262151894260596,-0.723979494089411,-0.051145311737629484,0.04263349704096295,-0.13796548797036012,0.1515089666951293,-0.15475909196779397,0.09324087326062627,0.01749358885755581,-0.030432083456053926,0.082586102755534,0.07482543956227657,0.0009414833980176734,0.12132313381724942,0.0049834669842106615,0.048918074649684,0.008507484206562367,-0.013324782919963543,0.15479301599673043,-0.14329565073929737,-0.03342080839842678,-0.11473824568690957,-0.0749661573022931,0.009721893242834621,0.04918094694479273,0.04840964095578074,-0.22624921465547765,0.04593352223242156,-0.21356919672089927,-0.003933055604407271,-0.0674574085210159,-0.0712527111972941,-0.07537349814354717,-0.026079891056725694,-0.040182555296729636,0.12635280888519748,0.1586350053856023,0.08933831897598828,-0.016875232975902533,0.07515413067492362,-0.016124231481280917,-0.006599308172408515,-0.11174594093627009,0.021827912544850454,0.04706754685999478,0.01921962083101773,-0.1039311947532192,0.01504073984160854,-0.09789267407199309,0.053201160347470015
156-6_vector_tfidf.txt,0.2898716083844717,-0.7232256278929035,-0.03949398067109444,0.05544612590915057,-0.13859956295053727,0.15201914797175434,-0.14275672893139577,0.09295260903631797,0.011076575534558169,-0.031659701130970115,0.0541190604268331,0.08711684851675972,0.010963871513252132,0.12133323138216819,-0.012562026627293036,0.018686220330588442,0.007601456491457622,-0.008796159851169563,0.18029976170480633,-0.14809487084690448,-0.04466829593751585,-0.11282030110427821,-0.08638302189072829,0.016594329299865904,0.045179193663470896,0.0588369724790924,-0.21529384815112093,0.03944400737351603,-0.19140882018125602,-0.007570737478365139,-0.0750403470200383,-0.10526379363401675,-0.06832942974323107,-0.0591317978166106,-0.03970019263303426,0.12337995604167448,0.17103029283140936,0.08859719459997524,-0.020507540676257006,0.0623212463365308,-0.022628569005812865,0.01687073260839345,-0.10984420758188143,0.015455520396444917,0.05768801824525741,0.009124587991274604,-0.09705479887629397,-0.006940425597341978,-0.10850567441613711,0.04447015589730017
156-7_vector_tfidf.txt,0.31017044713571057,-0.7296890499473612,-0.03772081671503203,0.05102332757860112,-0.167967101102188,0.1544604749327952,-0.15971002130098186,0.08038928317331206,0.015476972241964494,-0.028112778082848133,0.04931492591600901,0.07393892016833664,0.02965453734241422,0.09616515194703534,-0.0023997894240779896,0.03188615616060065,0.012047011282363537,-0.025615109922546436,0.1450432260182485,-0.15126432087739142,-0.0538359393347807,-0.11452020893774158,-0.08153901956237232,0.01133478034941162,0.03618903170826531,0.046646472119148526,-0.20279761679936537,0.03947532605517051,-0.21566549958262615,-0.028776923915628916,-0.06774058777512094,-0.08815109278974924,-0.0481279255818111,-0.022918550189872506,-0.05403711085788425,0.1161046863964962,0.16703976785857333,0.05875626204413388,0.0002454463779731051,0.03979539873785084,-0.02112289898929643,0.034457102485137184,-0.08730045803529304,0.006176133391505263,0.042920644717937904,0.04468110580445289,-0.10887760135372217,0.007257675467489433,-0.10374386582889747,0.04291241682571422
156-8_vector_tfidf.txt,0.2901158018955151,-0.7227389388193483,-0.036758732506636124,0.04951678166609567,-0.15015198245972827,0.14549164548917098,-0.1590902968675222,0.07311763484863582,0.0017556865257262687,-0.007324001415807099,0.08718959904002638,0.08537862724655779,0.015767799902818836,0.09487569190324711,-0.015503664804757813,0.02227806697879851,0.00875158742668095,-0.015386691923337982,0.16481447818448933,-0.1586671535431476,-0.0071130343265280015,-0.09630381245188337,-0.0561801962134209,0.006988734286505575,0.07024296936664028,0.031332198807142275,-0.24574947875081435,0.054593135931051986,-0.1940563755643119,-0.003840676885664339,-0.05624098636204392,-0.10508720188028636,-0.06972601889007563,-0.04387338289718797,-0.0329713820624409,0.10458713121040432,0.16738319856530454,0.08434698752580128,-0.0242601715825706,0.054305911248052216,-0.016681006070941248,0.03476076585354677,-0.11236184372254394,0.0188154001163585,0.03463529671930313,-0.0023196711542650458,-0.119521914413165,0.008710061420881482,-0.1231389420634489,0.03669636101422753
156-9_vector_tfidf.txt,0.28880808757039034,-0.7246434974513726,-0.048885762160093195,0.07571360786462313,-0.1499813409451962,0.16575249490439445,-0.1527787567203498,0.05230664960725014,0.016394247992814595,-0.01264483068358092,0.051272261950068114,0.06855833473340602,0.03119271524783279,0.0841602331594944,0.001920466217918689,0.03276627917117504,0.005977893694488758,-0.014997104978279318,0.1523769405336161,-0.15661901503328365,-0.031669991876500755,-0.13171847074413356,-0.07503738579990402,0.004305587767917275,0.04371635445505167,0.07839697714764352,-0.2360934950050055,0.042144194011662396,-0.2156672925881964,-0.012605097080434799,-0.04875107500806755,-0.08385538464784889,-0.07921563742380969,-0.04256185186936329,-0.038714519217061365,0.10723123496766021,0.1693620182088177,0.056059117520197856,-0.021286402526517527,0.05289115962756719,-0.014602901298320307,0.00882317147971286,-0.11104230666350316,0.024811858903511213,0.04256793195186082,0.02063168031701634,-0.11696519621840067,0.017321269733285464,-0.09490708642887749,0.04620644050056698
156_vector_tfidf.txt,0.43326144661439825,-0.5566809360530569,-0.08738865362489012,-0.08179906557583083,-0.04142515301616135,0.31694591727780186,-0.14945880342793968,0.16201736233896255,0.12144869302721047,-0.09279736116852569,-0.052069447601591407,0.025742299452598646,0.06925134308254265,0.0743042603046544,0.051886304649928605,0.046021325661118856,-0.12038092032150978,-0.03430230375357837,-0.030748039417941183,-0.14094335560387505,-0.024504211374692823,-0.126845978483711,0.0566649672244537,0.022380543681335692,0.05899571244424028,-0.1583956283688173,-0.003849669758953893,0.06878772134240994,-0.08407810210602405,-0.126999766178865,0.0032417462233728864,0.04438639368127912,0.08625760104965875,0.023607725033315298,-0.013526324054884978,0.2410025893745616,0.2147516336856839,0.08325072490875425,-0.045134688043768106,0.0393613630463723,0.009514962756678708,-0.022284431919240292,-0.044317622795658054,0.021351283780943663,-0.004218202178240588,0.030297866793526668,-0.18614597791238413,0.11566955482087977,-0.07207932486098848,0.0006900645928103834
157-0_vector_tfidf.txt,0.35302264155049,-0.6721366713587011,-0.13823136092144583,-0.0685621351472806,-0.18776757558239374,0.08347581300711697,-0.175762158005809,0.17295472158660166,0.059736172742279506,0.01226400337533148,-0.04064233143379445,0.011461344067960297,-0.03517558954719284,0.10985522444892724,0.012950904923905717,0.03203433201423696,0.043367947485341334,0.03623331418409317,0.0738582446242408,-0.13184939581871802,0.054783882524852404,-0.05396007762346411,-0.09022355768629425,0.031365802601265334,0.04445929457081699,0.018186996818755956,-0.0819181024091996,0.03881542745227173,-0.2170754094959263,0.05225041284917765,-0.10064030229381764,-0.06593773156282981,-0.09014789658558664,-0.09063742698552414,-0.11452964075459661,-0.03084801615723218,0.19456993819361876,-0.029885526581698896,-0.1820961736478533,0.10645951097604997,-0.000812894727532373,0.13474204079497823,-0.08737708314512281,0.017810827135495852,0.040393086869533606,0.05022573980402437,0.010750198046127809,-0.0726809163516755,-0.08506704683423168,-0.06552513881108145
